娄熊牢	RB000	RB0000000	女	2001-10-20	17820678870	山东省济宁市嘉祥县797号	17
万坟踪	RB000	RB0000001	女	2001-08-24	18104262642	海南省三沙市443号	40
邬壶悬	RB000	RB0000002	女	2003-04-19	18141529589	山西省忻州市偏关县500号	22
帅只贱	RB000	RB0000003	女	2002-08-07	13235059788	黑龙江省绥化市望奎县359号	44
琴问办	RB000	RB0000004	女	2003-10-04	15331537573	广东省佛山市999号	98
巫饼壤	RB000	RB0000005	女	2001-05-29	18184064375	四川省德阳市566号	8
霍释爷	RB000	RB0000006	男	2003-06-29	13002047443	新疆维吾尔自治区克拉玛依市克拉玛依区393号	59
蒲罢艰	RB000	RB0000007	女	2002-08-08	17676483189	山西省晋中市平遥县344号	70
易磨奸	RB000	RB0000008	女	2000-11-08	18573209507	吉林省松原市234号	63
皮致嘴	RB000	RB0000009	女	2001-04-10	15558850871	广东省深圳市南山区493号	87
翟助扑	RB000	RB0000010	女	2001-09-11	13879328257	广西壮族自治区桂林市兴安县317号	71
阙轿微	RB000	RB0000011	男	2001-08-18	15258559406	贵州省贵阳市云岩区400号	12
侯队烧	RB000	RB0000012	女	2003-02-24	15609601010	新疆维吾尔自治区伊犁哈萨克自治州巩留县843号	52
范脾丹	RB000	RB0000013	男	2002-11-08	13258308609	江苏省南京市秦淮区771号	90
酆夏持	RB000	RB0000014	女	2003-01-18	13627163473	江西省赣州市于都县135号	36
秦讽婚	RB000	RB0000015	女	2002-07-09	13594838681	广西壮族自治区南宁市青秀区673号	84
墨场女	RB000	RB0000016	男	2002-01-17	15259929307	福建省南平市政和县716号	16
缪垮岔	RB000	RB0000017	女	2003-05-27	15387198546	河南省周口市商水县006号	65
刘订顶	RB000	RB0000018	男	2003-01-02	15328290700	河北省石家庄市井陉县577号	55
林饺捏	RB000	RB0000019	男	2001-06-06	13900815385	浙江省杭州市下城区796号	75
