单连烈	RB000	RB0000000	女	2001-05-20	13039663142	江西省南昌市安义县088号	25
滕禽映	RB000	RB0000001	女	2003-09-10	15082172072	安徽省淮南市谢家集区199号	35
娄肠妈	RB000	RB0000002	女	2002-08-02	18750248459	河南省洛阳市偃师市401号	34
笪贫准	RB000	RB0000003	女	2001-09-21	13976699118	辽宁省辽阳市弓长岭区017号	1
端免挽	RB000	RB0000004	男	2002-09-13	13653697646	河北省邢台市柏乡县720号	31
戚督萌	RB000	RB0000005	男	2002-02-22	18893149656	湖北省恩施土家族苗族自治州鹤峰县524号	86
干欺也	RB000	RB0000006	男	2001-01-06	17747261537	四川省凉山彝族自治州德昌县994号	52
颛誓瞎	RB000	RB0000007	女	2001-09-20	14565909633	广西壮族自治区玉林市306号	89
仇污剥	RB000	RB0000008	女	2002-03-03	15621047325	黑龙江省鹤岗市657号	46
茅炒中	RB000	RB0000009	男	2001-02-07	17072176732	山西省长治市平顺县263号	6
钟撒安	RB000	RB0000010	男	2002-04-08	15864756112	云南省临沧市云县839号	62
华飞瑞	RB000	RB0000011	男	2001-06-01	15820136278	贵州省遵义市276号	88
裴散傍	RB000	RB0000012	男	2002-09-01	17684443024	江苏省苏州市常熟市728号	75
宫命占	RB000	RB0000013	男	2002-02-21	17679435164	山东省济宁市鱼台县304号	77
暨霞认	RB000	RB0000014	女	2003-01-14	13210898352	安徽省淮南市寿县548号	70
武常专	RB000	RB0000015	女	2002-01-15	13841013754	河南省漯河市临颍县115号	32
岳榴祥	RB000	RB0000016	男	2003-10-07	13831147950	四川省南充市阆中市592号	90
相潮亩	RB000	RB0000017	男	2002-03-08	18831707101	安徽省亳州市涡阳县864号	6
龙保公	RB000	RB0000018	女	2003-07-12	15978245254	黑龙江省伊春市545号	49
叔平书	RB000	RB0000019	女	2003-10-12	17801744118	安徽省芜湖市南陵县574号	69
仇递训	RB000	RB0000020	男	2001-02-28	14723135783	山东省滨州市惠民县180号	21
慎蚁评	RB000	RB0000021	女	2001-09-08	18851424896	广西壮族自治区桂林市全州县606号	4
轩采束	RB000	RB0000022	女	2002-05-03	18662106365	河北省邯郸市丛台区177号	26
谈杜唇	RB000	RB0000023	女	2002-10-25	13795420559	贵州省贵阳市观山湖区636号	16
殷练于	RB000	RB0000024	男	2003-09-01	18273831623	浙江省温州市乐清市944号	71
延病足	RB000	RB0000025	男	2002-05-07	15042390440	重庆市铜梁区244号	95
瞿胖车	RB000	RB0000026	男	2001-10-20	18389693451	陕西省渭南市华州区032号	16
越制后	RB000	RB0000027	男	2002-04-07	17872627199	江苏省常州市071号	15
谯羞镇	RB000	RB0000028	男	2002-01-01	15113402091	广西壮族自治区贵港市280号	73
李挪送	RB000	RB0000029	男	2001-05-20	15191436564	四川省广元市剑阁县878号	50
贲饺艰	RB000	RB0000030	女	2003-05-22	13519762573	湖南省常德市424号	90
言率厨	RB000	RB0000031	女	2001-03-09	15297839215	四川省内江市资中县152号	76
郎脖泉	RB000	RB0000032	女	2003-03-22	14547102888	广东省梅州市蕉岭县990号	84
弘须眨	RB000	RB0000033	女	2002-11-25	14502227065	安徽省马鞍山市当涂县337号	34
公撑渔	RB000	RB0000034	男	2002-10-04	15990272814	江西省景德镇市昌江区910号	65
厉裳样	RB000	RB0000035	女	2000-11-12	14598071670	云南省楚雄彝族自治州467号	38
寇梳怠	RB000	RB0000036	女	2003-05-19	18407652116	黑龙江省黑河市嫩江市479号	98
蒙纯妇	RB000	RB0000037	女	2001-09-02	15585671583	湖南省长沙市岳麓区095号	95
庞茂桑	RB000	RB0000038	女	2003-10-14	15858297149	贵州省黔东南苗族侗族自治州麻江县985号	99
金甩费	RB000	RB0000039	女	2003-10-13	18239890012	广东省江门市恩平市581号	10
邵虾疑	RB000	RB0000040	女	2003-01-17	15091670918	福建省莆田市秀屿区619号	54
公骑慢	RB000	RB0000041	女	2002-09-04	13774721951	河南省洛阳市汝阳县199号	34
海晴末	RB000	RB0000042	男	2003-04-08	13216462315	内蒙古自治区乌海市海勃湾区041号	57
伍棚瞎	RB000	RB0000043	男	2000-11-18	13020936797	山东省潍坊市安丘市197号	74
东辫芒	RB000	RB0000044	女	2001-03-20	13913245911	陕西省西安市新城区147号	77
欧橘些	RB000	RB0000045	男	2001-06-16	14554291750	黑龙江省哈尔滨市南岗区730号	14
丘浇汇	RB000	RB0000046	男	2002-10-04	13784085642	福建省厦门市集美区986号	37
