武虾谱	RB000	RB0000000	男	2001-01-03	15619857690	湖南省湘西土家族苗族自治州凤凰县135号	45
时景盟	RB000	RB0000001	男	2003-06-18	18791626614	安徽省芜湖市芜湖县070号	3
刘蓝认	RB000	RB0000002	女	2002-08-28	13825435225	山东省威海市荣成市996号	4
贲排粗	RB000	RB0000003	女	2001-07-19	17045430804	贵州省安顺市西秀区238号	29
厉袭业	RB000	RB0000004	女	2000-12-01	15365958149	甘肃省兰州市榆中县371号	58
钮镇闭	RB000	RB0000005	女	2002-08-13	13774911477	安徽省芜湖市弋江区350号	82
齐英峰	RB000	RB0000006	女	2001-11-24	14569995120	广东省深圳市宝安区508号	55
鬱腾芳	RB000	RB0000007	女	2002-03-06	13564858019	河南省商丘市睢县847号	66
文胡滚	RB000	RB0000008	男	2001-10-31	15918621376	吉林省吉林市舒兰市396号	44
慎复式	RB000	RB0000009	男	2001-07-14	18096304553	河南省南阳市淅川县844号	47
奚鄙产	RB000	RB0000010	男	2003-10-26	13076052017	内蒙古自治区锡林郭勒盟正蓝旗117号	11
羊枝个	RB000	RB0000011	男	2002-08-25	15759038692	福建省三明市三元区582号	75
羊膊袜	RB000	RB0000012	女	2001-06-30	18748313077	河北省唐山市丰润区475号	18
皇绣罪	RB000	RB0000013	女	2001-05-01	13091233982	陕西省铜川市408号	40
奚率牺	RB000	RB0000014	男	2003-02-25	18932393301	四川省阿坝藏族羌族自治州松潘县465号	10
满听捧	RB000	RB0000015	女	2001-06-19	18755012926	广西壮族自治区桂林市226号	3
巴收仰	RB000	RB0000016	女	2002-07-09	15226152464	湖南省株洲市天元区194号	37
皇故度	RB000	RB0000017	女	2002-10-18	18233575519	四川省遂宁市船山区281号	87
柏蹄虚	RB000	RB0000018	男	2003-04-10	18410746680	河南省濮阳市濮阳县642号	94
鲍拜纵	RB000	RB0000019	女	2001-04-18	13108901422	广西壮族自治区桂林市全州县238号	77
能摘块	RB000	RB0000020	男	2001-10-10	13440245254	广东省深圳市龙岗区177号	60
古价梦	RB000	RB0000021	男	2001-01-10	15181510686	山东省菏泽市巨野县967号	42
终身浓	RB000	RB0000022	女	2000-12-21	18251387619	河南省新乡市辉县市268号	91
阎狗蹄	RB000	RB0000023	男	2002-11-12	13806218407	河北省承德市围场满族蒙古族自治县963号	6
强弓胡	RB000	RB0000024	女	2003-01-15	13652459366	江苏省扬州市943号	70
弓薯华	RB000	RB0000025	女	2003-01-09	18572744473	云南省昆明市嵩明县152号	10
黄塞挣	RB000	RB0000026	女	2001-02-02	13456448103	新疆维吾尔自治区喀什地区泽普县906号	47
彭洪僻	RB000	RB0000027	女	2002-07-25	17611490432	陕西省延安市宜川县840号	53
钱满释	RB000	RB0000028	女	2002-04-25	18580930624	河北省石家庄市栾城区153号	87
竺汉威	RB000	RB0000029	女	2002-01-03	14793220272	黑龙江省齐齐哈尔市昂昂溪区106号	95
璩姿贱	RB000	RB0000030	男	2002-02-04	13675164452	河北省秦皇岛市741号	69
倪胞垂	RB000	RB0000031	女	2003-08-12	15163417967	河北省保定市曲阳县446号	66
佟假看	RB000	RB0000032	女	2002-10-22	13143392664	吉林省松原市长岭县231号	97
段削治	RB000	RB0000033	男	2003-02-07	13647633346	新疆维吾尔自治区乌鲁木齐市817号	33
闫老捧	RB000	RB0000034	男	2003-03-09	17882595855	广西壮族自治区梧州市苍梧县459号	51
景妥事	RB000	RB0000035	女	2001-09-17	18669013073	浙江省丽水市庆元县407号	75
连饼姓	RB000	RB0000036	男	2001-12-16	15153179298	广东省肇庆市297号	2
官怎浙	RB000	RB0000037	男	2003-06-24	13887214837	广西壮族自治区桂林市灌阳县584号	85
海荡芹	RB000	RB0000038	女	2003-06-14	18728650733	福建省漳州市诏安县839号	66
广饼翻	RB000	RB0000039	女	2001-01-29	14560456545	内蒙古自治区呼和浩特市武川县513号	37
王碎满	RB000	RB0000040	女	2002-10-05	13820021254	黑龙江省齐齐哈尔市泰来县643号	43
陆思秃	RB000	RB0000041	男	2002-05-25	13764689901	广西壮族自治区百色市田东县868号	53
鄂汁信	RB000	RB0000042	男	2001-03-26	13212586647	河北省石家庄市平山县814号	27
薛额缴	RB000	RB0000043	男	2002-04-10	18449375102	江苏省淮安市盱眙县387号	91
姓入绒	RB000	RB0000044	女	2003-03-18	13974048283	江西省上饶市余干县763号	32
司筐方	RB000	RB0000045	女	2002-04-11	13649823633	山西省太原市晋源区990号	90
娄膜直	RB000	RB0000046	男	2001-08-13	18110119989	山西省长治市沁县541号	68
蒙疯破	RB000	RB0000047	女	2003-02-24	13671220071	广西壮族自治区百色市凌云县756号	69
逯排现	RB000	RB0000048	男	2000-11-09	17698883629	四川省内江市879号	69
孙怨冈	RB000	RB0000049	女	2001-12-27	13969860939	安徽省淮北市551号	49
阮绸训	RB000	RB0000050	女	2001-07-04	15383204485	湖南省张家界市武陵源区678号	64
裘患奏	RB000	RB0000051	男	2001-10-22	15820718591	广东省河源市源城区777号	30
蔚湿尝	RB000	RB0000052	男	2001-11-14	13460775864	湖南省娄底市801号	66
田逆王	RB000	RB0000053	女	2003-05-06	17020154182	海南省三沙市中沙群岛的岛礁及其海域915号	39
申抬鞠	RB000	RB0000054	男	2003-03-31	15693080339	青海省海东市互助土族自治县314号	34
庞鲁收	RB000	RB0000055	男	2002-09-01	15312375947	广东省佛山市589号	47
景僵侨	RB000	RB0000056	女	2002-08-27	13969343148	河南省三门峡市陕州区573号	23
孙茄翁	RB000	RB0000057	男	2001-09-01	13481093551	广东省茂名市电白区112号	54
马碍班	RB000	RB0000058	男	2001-10-30	17031338112	广东省清远市阳山县029号	91
璩炮亮	RB000	RB0000059	男	2002-05-13	18592735217	云南省普洱市墨江哈尼族自治县872号	17
瞿寸驻	RB000	RB0000060	女	2000-11-02	18607847849	浙江省台州市临海市255号	92
相绕陡	RB000	RB0000061	男	2001-03-08	18400429814	山东省临沂市平邑县206号	90
赖凉拳	RB000	RB0000062	男	2003-01-28	18135307453	新疆维吾尔自治区石河子市895号	30
颛博缘	RB000	RB0000063	男	2001-06-06	14547010808	陕西省榆林市神木市147号	86
颜乳丢	RB000	RB0000064	女	2000-12-30	18930245698	贵州省遵义市播州区512号	81
良挂边	RB000	RB0000065	男	2003-05-04	13286057740	江苏省常州市金坛区103号	65
窦冤剪	RB000	RB0000066	女	2002-01-23	13076860750	新疆维吾尔自治区乌鲁木齐市米东区919号	26
季劫春	RB000	RB0000067	女	2003-08-08	15752263565	河南省郑州市新密市519号	76
汲寄吨	RB000	RB0000068	女	2002-06-15	18898528572	河北省承德市滦平县183号	91
郤测美	RB000	RB0000069	女	2001-05-23	17057362597	福建省福州市长乐区694号	90
傅疾植	RB000	RB0000070	女	2000-11-15	13411212937	新疆维吾尔自治区博尔塔拉蒙古自治州温泉县240号	4
司框撇	RB000	RB0000071	男	2003-02-28	13777771257	黑龙江省佳木斯市抚远市339号	3
扶早竹	RB000	RB0000072	男	2003-08-18	13481582285	山西省临汾市乡宁县369号	17
国贷山	RB000	RB0000073	男	2001-02-16	15338419828	新疆维吾尔自治区哈密市伊吾县425号	15
爱难努	RB000	RB0000074	女	2002-02-20	14558945238	黑龙江省齐齐哈尔市铁锋区301号	60
羊辣死	RB000	RB0000075	男	2001-01-01	13607760685	河南省洛阳市492号	11
沃孕抬	RB000	RB0000076	女	2002-09-30	13434471391	山西省吕梁市离石区035号	19
盛炊睬	RB000	RB0000077	女	2003-07-04	18879562355	甘肃省酒泉市玉门市304号	7
任恩柿	RB000	RB0000078	女	2003-08-10	15542929646	江西省南昌市894号	0
晏收筐	RB000	RB0000079	女	2001-12-19	17772271608	青海省海南藏族自治州贵德县076号	79
暴递馋	RB000	RB0000080	女	2003-07-17	15125396044	吉林省松原市长岭县828号	70
芮者挠	RB000	RB0000081	男	2001-06-23	15076691482	河南省三门峡市渑池县325号	27
